NAME,TIME,VAL
afl,0,741
laf,0,739
afl,1,761
laf,1,769
afl,2,770
laf,2,774
afl,3,892
laf,3,886
laf,10,887
laf,20,892
laf,28,897
laf,30,899
laf,31,901
laf,35,902
afl,36,895
afl,53,896
afl,84,897
afl,86,903
afl,100,905
laf,105,907
laf,109,909
afl,112,910
afl,119,913
laf,120,911
afl,130,914
laf,134,912
afl,136,915
laf,139,914
laf,145,915
afl,155,928
laf,157,916
laf,165,919
afl,168,929
laf,171,927
afl,172,931
afl,187,932
afl,195,934
laf,197,928
afl,198,941
laf,200,929
laf,202,939
laf,211,942
laf,218,944
afl,224,942
laf,229,949
afl,249,943
afl,253,945
afl,255,946
afl,260,949
afl,269,950
laf,269,951
afl,271,954
afl,272,955
laf,275,954
afl,278,959
afl,287,961
laf,294,955
laf,304,957
laf,319,958
laf,320,962
laf,339,963
laf,388,966
