NAME,TIME,VAL
afl,0,51
afl,1,10
afl,2,8
afl,3,2
afl,4,14
afl,5,6
afl,6,4
afl,7,1
afl,8,2
afl,9,4
afl,10,4
afl,11,3
afl,12,1
afl,13,34
afl,14,14
afl,15,8
afl,16,5
afl,17,1
afl,18,1
afl,19,1
afl,21,1
afl,23,3
afl,24,4
afl,25,1
afl,26,1
afl,30,1
afl,31,2
afl,35,1
afl,37,1
afl,38,4
afl,40,1
afl,45,1
afl,47,3
afl,48,1
afl,50,1
afl,51,1
afl,52,1
afl,54,1
afl,55,2
afl,56,2
afl,57,1
afl,60,3
afl,67,2
afl,70,1
afl,74,2
afl,82,1
afl,83,2
afl,86,1
afl,103,1
afl,114,1
afl,116,1
afl,117,1
afl,118,1
afl,121,1
afl,122,1
afl,136,1
afl,142,1
afl,143,1
afl,148,1
afl,158,1
afl,159,2
afl,171,1
afl,180,1
afl,181,1
afl,192,1
afl,218,1
afl,251,1
afl,262,1
afl,307,1
afl,308,1
afl,310,1
afl,335,1
afl,368,1
afl,370,1
afl,371,1
afl,400,1
afl,425,1
afl,447,1
afl,455,1
afl,472,1
afl,515,1
afl,539,1
afl,564,1
afl,569,1
afl,600,1
afl,601,3
afl,606,1
afl,609,3
afl,634,1
afl,638,1
afl,643,1
afl,668,1
afl,690,1
afl,700,2
afl,701,1
afl,705,2
afl,708,1
afl,762,1
afl,768,1
afl,784,2
afl,795,1
afl,797,1
afl,834,1
afl,852,1
afl,856,1
afl,857,1
afl,872,1
afl,876,1
afl,882,1
afl,883,1
afl,884,2
afl,895,1
afl,909,1
afl,949,1
afl,952,1
afl,963,1
afl,968,1
afl,988,1
afl,1007,1
afl,1027,2
afl,1029,1
afl,1034,1
afl,1057,1
afl,1076,1
afl,1091,1
afl,1121,1
afl,1184,1
afl,1206,1
afl,1214,1
afl,1218,1
afl,1245,1
afl,1248,1
afl,1249,1
afl,1260,1
afl,1262,1
afl,1267,1
afl,1272,1
afl,1331,1
afl,1391,1
afl,1420,1
afl,1461,1
afl,1463,1
afl,1466,2
afl,1526,1
afl,1561,1
afl,1568,1
afl,1593,1
afl,1704,1
afl,1818,1
afl,1880,1
afl,1887,1
afl,1892,1
afl,1905,1
afl,1927,1
afl,1994,1
afl,1996,2
afl,2002,1
afl,2080,1
afl,2162,1
laf,0,56
laf,1,20
laf,2,10
laf,3,8
laf,4,3
laf,5,19
laf,6,4
laf,7,7
laf,8,3
laf,9,2
laf,10,4
laf,11,4
laf,12,1
laf,13,6
laf,14,43
laf,15,8
laf,16,6
laf,17,2
laf,18,2
laf,21,2
laf,23,2
laf,25,6
laf,27,2
laf,28,2
laf,30,3
laf,31,1
laf,33,1
laf,34,1
laf,37,3
laf,38,2
laf,39,2
laf,40,1
laf,42,2
laf,47,1
laf,48,1
laf,50,2
laf,51,4
laf,52,1
laf,53,3
laf,55,1
laf,56,2
laf,58,2
laf,62,3
laf,63,2
laf,66,1
laf,67,1
laf,71,1
laf,72,1
laf,78,1
laf,87,1
laf,88,1
laf,89,1
laf,91,1
laf,92,1
laf,98,1
laf,99,1
laf,119,1
laf,122,3
laf,126,1
laf,127,2
laf,128,1
laf,129,2
laf,134,1
laf,137,1
laf,148,1
laf,149,1
laf,157,1
laf,160,1
laf,167,2
laf,168,1
laf,170,2
laf,183,2
laf,185,1
laf,198,1
laf,202,1
laf,211,1
laf,214,1
laf,247,2
laf,248,1
laf,253,2
laf,259,1
laf,260,1
laf,261,1
laf,266,1
laf,267,1
laf,268,1
laf,302,2
laf,314,1
laf,318,2
laf,334,2
laf,343,1
laf,345,1
laf,347,2
laf,348,1
laf,350,1
laf,354,1
laf,371,1
laf,372,1
laf,380,1
laf,414,1
laf,415,1
laf,440,1
laf,441,2
laf,470,1
laf,486,1
laf,508,1
laf,509,1
laf,518,1
laf,535,3
laf,536,1
laf,537,1
laf,538,1
laf,539,1
laf,541,1
laf,542,2
laf,602,1
laf,603,1
laf,604,8
laf,638,1
laf,642,1
laf,644,2
laf,645,1
laf,656,1
laf,657,1
laf,685,1
laf,691,1
laf,694,1
laf,695,2
laf,698,1
laf,732,1
laf,734,1
laf,747,1
laf,754,1
laf,767,1
laf,778,1
laf,790,1
laf,806,1
laf,814,1
laf,832,1
laf,885,1
laf,907,1
laf,911,1
laf,946,1
laf,959,1
laf,972,1
laf,976,1
laf,981,1
laf,985,1
laf,986,1
laf,1048,1
laf,1059,1
laf,1068,1
laf,1075,1
laf,1085,1
laf,1086,1
laf,1089,1
laf,1123,1
laf,1131,1
laf,1132,1
laf,1142,1
laf,1174,1
laf,1180,1
laf,1200,1
laf,1209,1
laf,1214,2
laf,1221,1
laf,1251,2
laf,1303,1
laf,1306,1
laf,1310,1
laf,1346,1
laf,1349,1
laf,1357,1
laf,1360,1
laf,1376,1
laf,1377,1
laf,1388,1
laf,1395,1
laf,1408,1
laf,1416,1
laf,1430,1
laf,1450,1
laf,1452,1
laf,1458,1
laf,1486,1
laf,1518,1
laf,1543,3
laf,1571,1
laf,1603,1
laf,1606,1
laf,1610,1
laf,1623,1
laf,1652,1
laf,1662,1
laf,1712,1
laf,1748,1
laf,1753,1
laf,1771,1
laf,1772,1
laf,1773,1
laf,1785,1
laf,1789,1
laf,1796,1
laf,1798,1
laf,1808,1
laf,1809,2
laf,1816,1
laf,1819,1
laf,1820,1
laf,1821,1
laf,1832,1
laf,1836,1
laf,1839,1
laf,1924,1
laf,1929,1
laf,1976,1
laf,1977,1
laf,2067,1
laf,2091,1
laf,2102,1
laf,2135,1
laf,2143,1
laf,2144,1
laf,2153,1
laf,2157,1
laf,2161,1
laf,2166,2
laf,2193,1
laf,2225,1
