NAME,TIME,VAL
classic,0,794
laf,0,728
classic,1,865
laf,1,829
classic,2,1008
laf,2,906
classic,3,1021
laf,3,1028
classic,4,1187
laf,4,1126
classic,5,1212
laf,5,1180
classic,6,1238
laf,6,1295
classic,7,1346
laf,7,1303
classic,8,1361
laf,8,1329
classic,9,1380
laf,9,1378
classic,10,1402
laf,10,1410
classic,11,1404
laf,11,1434
classic,12,1477
laf,12,1445
classic,13,1494
classic,14,1497
laf,14,1452
classic,15,1500
laf,15,1476
classic,16,1529
laf,16,1493
classic,17,1530
laf,17,1541
classic,18,1532
laf,18,1554
classic,19,1537
laf,19,1558
classic,20,1557
laf,20,1575
classic,21,1670
laf,21,1588
classic,22,1707
laf,22,1597
classic,23,1820
laf,23,1612
classic,24,1825
laf,24,1632
classic,25,1881
classic,26,1899
classic,27,1918
laf,27,1670
classic,28,1923
laf,28,1699
classic,29,1926
laf,29,1703
classic,30,1959
laf,31,1769
classic,32,1968
laf,32,1793
classic,33,1999
laf,33,1806
classic,34,2001
laf,34,1828
classic,35,2006
laf,35,1831
classic,36,2019
laf,36,1866
laf,37,1894
classic,38,2042
laf,38,1905
laf,39,1938
classic,40,2059
laf,41,2008
classic,42,2070
laf,42,2047
classic,43,2075
laf,43,2051
laf,44,2084
classic,45,2149
classic,46,2172
laf,46,2092
classic,48,2173
laf,48,2095
classic,49,2284
laf,49,2112
classic,50,2309
laf,50,2129
classic,51,2313
laf,51,2160
laf,52,2163
laf,53,2164
classic,54,2385
laf,54,2177
laf,55,2195
laf,56,2220
laf,57,2227
classic,58,2394
laf,58,2288
classic,59,2400
laf,59,2303
classic,60,2417
laf,60,2381
classic,61,2422
laf,61,2391
laf,62,2395
classic,63,2479
laf,63,2400
classic,64,2482
laf,64,2403
laf,65,2421
laf,66,2422
classic,68,2494
laf,69,2423
classic,70,2499
classic,71,2502
classic,72,2505
laf,72,2461
classic,73,2520
laf,73,2463
classic,74,2534
laf,74,2479
classic,75,2549
classic,76,2557
laf,76,2480
classic,77,2569
laf,77,2485
laf,78,2540
classic,79,2570
laf,79,2554
laf,80,2558
laf,81,2566
classic,82,2572
laf,82,2575
laf,83,2577
classic,85,2576
classic,86,2596
laf,86,2644
classic,87,2599
laf,87,2645
classic,88,2795
classic,89,2885
laf,89,2663
classic,90,2948
laf,90,2667
classic,91,2986
laf,91,2676
classic,92,2992
laf,92,2689
classic,93,2997
laf,93,2695
classic,94,2999
laf,94,2720
classic,95,3004
classic,96,3006
laf,96,2721
classic,97,3014
classic,98,3058
laf,98,2744
laf,99,2759
classic,100,3069
laf,100,2815
