NAME,TIME,VAL
classic,0,133
classic,1,27
classic,2,17
classic,3,14
classic,4,8
classic,5,11
classic,6,13
classic,7,9
classic,8,8
classic,9,12
classic,10,3
classic,11,6
classic,12,10
classic,13,5
classic,14,23
classic,15,3
classic,16,5
classic,17,3
classic,18,10
classic,19,2
classic,20,10
classic,21,15
classic,22,12
classic,23,9
classic,24,7
classic,25,11
classic,26,4
classic,27,3
classic,28,3
classic,29,4
classic,30,1
classic,31,4
classic,32,5
classic,33,7
classic,34,2
classic,35,9
classic,36,3
classic,37,10
classic,38,11
classic,39,2
classic,40,3
classic,41,2
classic,42,5
classic,43,3
classic,45,12
classic,46,4
classic,47,1
classic,48,5
classic,49,17
classic,50,3
classic,51,8
classic,52,5
classic,53,21
classic,54,10
classic,55,3
classic,56,4
classic,58,5
classic,59,3
classic,60,4
classic,61,2
classic,62,1
classic,63,10
classic,64,7
classic,65,12
classic,66,3
classic,67,8
classic,68,3
classic,69,1
classic,70,3
classic,71,2
classic,72,6
classic,73,2
classic,74,5
classic,75,9
classic,76,4
classic,77,6
classic,78,3
classic,79,3
classic,80,1
classic,81,2
classic,82,2
classic,83,2
classic,84,4
classic,85,3
classic,86,4
classic,87,2
classic,88,35
classic,89,16
classic,90,10
classic,91,11
classic,92,2
classic,93,3
classic,94,1
classic,95,4
classic,96,1
classic,97,2
classic,98,3
classic,99,1
classic,100,2
laf,0,103
laf,1,34
laf,2,18
laf,3,15
laf,4,9
laf,5,5
laf,6,6
laf,7,2
laf,8,3
laf,9,7
laf,10,6
laf,11,5
laf,12,10
laf,13,3
laf,14,7
laf,15,6
laf,16,3
laf,17,6
laf,18,5
laf,19,16
laf,20,7
laf,21,9
laf,22,6
laf,23,6
laf,24,8
laf,25,5
laf,26,3
laf,27,6
laf,28,5
laf,29,2
laf,31,9
laf,32,3
laf,33,1
laf,34,10
laf,35,3
laf,36,6
laf,37,7
laf,38,14
laf,39,6
laf,40,1
laf,41,3
laf,42,11
laf,43,1
laf,44,15
laf,45,3
laf,46,4
laf,47,2
laf,48,5
laf,49,4
laf,50,5
laf,51,5
laf,52,2
laf,53,5
laf,54,7
laf,55,10
laf,56,5
laf,57,6
laf,58,8
laf,59,6
laf,60,6
laf,61,4
laf,62,4
laf,63,14
laf,64,5
laf,65,3
laf,66,6
laf,67,2
laf,68,1
laf,69,2
laf,70,7
laf,72,5
laf,73,1
laf,74,1
laf,75,1
laf,76,6
laf,77,3
laf,78,9
laf,79,6
laf,80,4
laf,81,6
laf,82,4
laf,83,1
laf,84,9
laf,85,3
laf,86,19
laf,87,10
laf,88,2
laf,89,5
laf,90,3
laf,91,4
laf,92,5
laf,93,4
laf,94,2
laf,95,2
laf,96,1
laf,97,4
laf,98,2
laf,99,1
laf,100,7
