NAME,TIME,VAL
afl,0,31
laf,0,35
afl,1,4
laf,1,13
afl,2,4
laf,2,5
laf,3,2
afl,4,8
laf,4,2
afl,5,3
laf,5,10
afl,6,2
laf,6,3
laf,7,5
afl,8,1
laf,8,1
afl,9,3
laf,9,2
afl,10,2
laf,10,3
afl,11,1
laf,11,2
laf,12,1
afl,13,22
laf,13,5
afl,14,3
laf,14,32
afl,15,2
laf,15,5
afl,16,3
laf,16,3
afl,17,1
laf,17,2
afl,18,1
laf,21,1
afl,23,2
laf,23,2
afl,24,4
laf,25,6
afl,26,1
laf,27,2
laf,28,2
laf,30,2
afl,31,1
laf,31,1
afl,35,1
afl,37,1
afl,38,4
laf,38,1
laf,39,1
laf,42,2
afl,47,1
laf,47,1
afl,48,1
laf,48,1
afl,52,1
laf,52,1
laf,53,1
afl,54,1
afl,55,2
laf,55,1
afl,56,1
laf,56,1
laf,58,2
afl,60,1
laf,62,2
afl,67,1
laf,67,1
afl,74,1
afl,82,1
afl,83,1
laf,91,1
afl,103,1
afl,114,1
afl,116,1
afl,117,1
afl,118,1
laf,119,1
afl,121,1
afl,122,1
laf,127,2
laf,128,1
afl,136,1
afl,142,1
afl,143,1
laf,148,1
laf,149,1
afl,158,1
laf,160,1
laf,167,2
laf,170,2
afl,171,1
afl,180,1
laf,183,2
afl,192,1
laf,214,1
laf,248,1
laf,253,2
laf,259,1
laf,260,1
laf,267,1
laf,268,1
laf,302,2
afl,307,1
afl,310,1
laf,318,2
afl,335,1
laf,350,1
laf,372,1
afl,400,1
laf,414,1
laf,415,1
afl,425,1
laf,440,1
laf,441,2
afl,447,1
afl,455,1
laf,470,1
afl,472,1
laf,486,1
laf,508,1
afl,515,1
laf,518,1
laf,535,2
laf,536,1
laf,539,1
afl,569,1
afl,600,1
afl,601,1
laf,602,1
laf,604,2
afl,606,1
afl,609,2
afl,638,1
laf,638,1
afl,643,1
laf,645,1
laf,657,1
afl,668,1
laf,685,1
afl,690,1
laf,691,1
laf,694,1
laf,695,1
laf,698,1
afl,700,1
afl,701,1
afl,705,1
afl,708,1
laf,732,1
laf,747,1
laf,754,1
afl,762,1
afl,768,1
laf,790,1
afl,795,1
afl,797,1
laf,806,1
laf,814,1
laf,832,1
afl,852,1
afl,856,1
afl,857,1
afl,872,1
afl,876,1
afl,882,1
afl,883,1
laf,885,1
afl,895,1
laf,907,1
afl,909,1
laf,946,1
afl,952,1
afl,963,1
afl,968,1
laf,976,1
laf,981,1
laf,985,1
afl,988,1
afl,1007,1
afl,1027,2
laf,1048,1
afl,1057,1
afl,1076,1
laf,1086,1
afl,1091,1
afl,1121,1
laf,1132,1
laf,1142,1
laf,1180,1
afl,1184,1
laf,1200,1
afl,1206,1
laf,1214,2
afl,1245,1
afl,1262,1
laf,1303,1
laf,1306,1
laf,1310,1
laf,1346,1
laf,1349,1
laf,1357,1
laf,1360,1
laf,1376,1
laf,1377,1
laf,1395,1
laf,1408,1
laf,1430,1
laf,1450,1
laf,1452,1
laf,1458,1
afl,1461,1
afl,1463,1
laf,1486,1
laf,1543,1
