NAME,TIME,VAL
afl,0,733
laf,0,729
afl,1,736
laf,1,737
afl,2,741
laf,2,740
afl,4,753
afl,5,760
laf,5,763
afl,6,761
laf,6,768
laf,8,769
afl,9,767
afl,10,769
laf,10,775
afl,13,880
laf,13,822
afl,14,886
laf,14,880
afl,15,889
laf,15,883
afl,16,891
laf,16,886
afl,17,892
laf,17,887
afl,23,894
afl,24,896
laf,25,896
afl,26,898
laf,28,899
afl,31,903
laf,31,900
laf,39,908
laf,42,913
afl,48,905
afl,54,907
afl,55,910
afl,56,912
laf,56,918
laf,58,920
afl,114,914
afl,116,915
afl,118,916
afl,121,917
laf,127,923
laf,134,924
afl,143,919
laf,149,926
afl,158,930
afl,180,933
laf,183,927
laf,214,929
laf,248,931
laf,259,933
afl,335,934
laf,350,934
afl,400,935
laf,414,937
laf,440,939
afl,600,936
laf,602,940
afl,638,939
laf,638,941
afl,643,940
laf,645,942
laf,685,943
laf,691,946
afl,700,941
afl,701,945
afl,705,946
laf,754,948
laf,832,949
afl,852,948
afl,872,950
afl,876,954
afl,882,956
afl,909,959
laf,981,953
laf,985,956
afl,1184,960
afl,1245,961
laf,1310,961
laf,1346,966
afl,1561,964
laf,1820,971
laf,1832,978
laf,1836,980
laf,1929,983
afl,1994,965
laf,2161,989
laf,2166,995
